content,video_title,video_publish_time,views,watch_time_hours,subscribers,year,month,day_name,views_per_subscribers,engagement
BQEaIv8CHmE,Cat of Egypt: It's called A THRONE| #shorts #catofegypt #cats #catvideos,2022-01-31,63,0.1946,0,2022,1,Monday,0.0,0.003088888888888889
bh7uOFGl4mU,Cat of Egypt: Chillin' with da homies || #catofegypt #shorts #cats #zoom,2022-08-08,62,0.7056,0,2022,8,Monday,0.0,0.011380645161290323
JOp-ZdIwwAo,Ahhhhhhhhhhhhhhhhhh| #shorts #catofegypt #cats,2022-10-02,56,0.2609,0,2022,10,Sunday,0.0,0.004658928571428572
QVcRBrH7yzg,Cat of Egypt: I'm a kitty cat 🐱 | #catofegypt #shorts #cats #kittycat #kitty,2022-07-13,51,0.2605,0,2022,7,Wednesday,0.0,0.005107843137254902
Kb3w82eRqhU,Cat of Egypt: Extravagant Toons| #catofegypt #shorts #cats,2022-08-05,48,0.1397,0,2022,8,Friday,0.0,0.0029104166666666666
AXYWSRABRdU,Cat of Egypt: Welcome to Jurrasic Park ft. my cat| #catofegypt #shorts #cats #jurassicpark,2022-08-18,35,0.1367,0,2022,8,Thursday,0.0,0.0039057142857142854
JX8lkyOgb6g,Cat of egypt: Let's vibe😎💥🎊 | #catofegypt #shorts,2022-10-11,31,0.0796,0,2022,10,Tuesday,0.0,0.002567741935483871
zpwE9w7zPfo,Cat of Egypt: Cat playing Hide & Seek | #catofegypt #shorts #hideandseek #cats #kitty,2022-08-16,28,0.0564,0,2022,8,Tuesday,0.0,0.002014285714285714
JUa0OVATGRY,Cat of Egypt: POV: You're watching Caet ASMR Part 2| #catofegypt #shorts #asmr #catasmr,2022-08-20,26,0.0764,0,2022,8,Saturday,0.0,0.0029384615384615382
DAN_XXQWN0Q,When your Parents allow you to bring a caet🐱 home| #catofegypt #shorts #cats,2022-10-10,21,0.0482,0,2022,10,Monday,0.0,0.0022952380952380954
E8AYFAu45m0,Click Here to squish a CAT 🐈 | #catofegypt #shorts,2022-10-30,19,0.0525,0,2022,10,Sunday,0.0,0.002763157894736842
YTnw6IWIlQM,Vibe With Cat of Egypt🐱🥰| #shorts #catofegypt #cats,2022-11-11,16,0.0954,0,2022,11,Friday,0.0,0.0059625
I_2paW66u2A,cat of egypt is a lil' too hangry | #shorts #cats #catofegypt,2022-10-02,16,0.0302,0,2022,10,Sunday,0.0,0.0018875
_f6xp4QNWZg,"Open the door, Surprise is waiting for you😍♥️ | #shorts #catofegypt #cats",2022-11-09,11,0.0294,0,2022,11,Wednesday,0.0,0.002672727272727273
